,Players,,Player_URL
0,Bilal El Khannous,,https://fbref.com/en/players/f7042636/Bilal-El-Khannous
1,Christopher Wooh,,https://fbref.com/en/players/b003239d/Christopher-Wooh
2,Marcus Rashford,,https://fbref.com/en/players/a1d5bd30/Marcus-Rashford
3,Ibrahima Konaté,,https://fbref.com/en/players/5ed9b537/Ibrahima-Konate
4,Guillermo Varela,,https://fbref.com/en/players/5c961282/Guillermo-Varela
5,Eduardo Camavinga,,https://fbref.com/en/players/7b9c2d84/Eduardo-Camavinga
6,Rónald Matarrita,,https://fbref.com/en/players/491862dd/Ronald-Matarrita
7,Marco Asensio,,https://fbref.com/en/players/45af8a54/Marco-Asensio
8,Ardon Jasari,,https://fbref.com/en/players/889588db/Ardon-Jasari
9,Michał Skóraś,,https://fbref.com/en/players/5a80aea3/Michal-Skoras
10,Olivier Ntcham,,https://fbref.com/en/players/6554bb97/Olivier-Ntcham
11,Enzo Fernández,,https://fbref.com/en/players/5ff4ab71/Enzo-Fernandez
12,Roan Wilson,,https://fbref.com/en/players/719300f2/Roan-Wilson
13,Nicolas Jackson,,https://fbref.com/en/players/9c36ed83/Nicolas-Jackson
14,Achraf Dari,,https://fbref.com/en/players/5069b796/Achraf-Dari
15,Randal Kolo Muani,,https://fbref.com/en/players/c0b3669f/Randal-Kolo-Muani
16,Ricardo Horta,,https://fbref.com/en/players/6603fed7/Ricardo-Horta
17,Ali Assadalla,,https://fbref.com/en/players/8e74d3ce/Ali-Assadalla
18,Fabian Rieder,,https://fbref.com/en/players/c2bd8585/Fabian-Rieder
19,Andries Noppert,,https://fbref.com/en/players/2dc9d6fb/Andries-Noppert
20,Ismail Jakobs,,https://fbref.com/en/players/a0415710/Ismail-Jakobs
21,Josip Šutalo,,https://fbref.com/en/players/33a6a650/Josip-Sutalo
22,Roozbeh Cheshmi,,https://fbref.com/en/players/87c75fb3/Roozbeh-Cheshmi
23,Salis Abdul Samed,,https://fbref.com/en/players/82464ce3/Salis-Abdul-Samed
24,Niclas Füllkrug,,https://fbref.com/en/players/4f16405e/Niclas-Fullkrug
25,Marcus Thuram,,https://fbref.com/en/players/6f8cd6d0/Marcus-Thuram
26,Tariq Lamptey,,https://fbref.com/en/players/f4e433d4/Tariq-Lamptey
27,Bryan Mbeumo,,https://fbref.com/en/players/6afaebf2/Bryan-Mbeumo
28,Harry Souttar,,https://fbref.com/en/players/0a6cb1b1/Harry-Souttar
29,Abolfazl Jalali,,https://fbref.com/en/players/d932eeee/Abolfazl-Jalali
30,Pape Abou Cissé,,https://fbref.com/en/players/8bc373ea/Pape-Abou-Cisse
31,Enzo Ebosse,,https://fbref.com/en/players/9ba7b4fa/Enzo-Ebosse
32,Musab Kheder,,https://fbref.com/en/players/d9261523/Musab-Kheder
33,Álvaro Zamora,,https://fbref.com/en/players/d050756d/Alvaro-Zamora
34,Loïs Openda,,https://fbref.com/en/players/8652a85c/Lois-Openda
35,Badr Banoun,,https://fbref.com/en/players/06a24e51/Badr-Banoun
36,Alidu Seidu,,https://fbref.com/en/players/cea59f02/Alidu-Seidu
37,Luis Chávez,,https://fbref.com/en/players/e50949ea/Luis-Chavez
38,Kevin Álvarez,,https://fbref.com/en/players/636b0833/Kevin-Alvarez
39,Alejandro Balde,,https://fbref.com/en/players/5ccc9672/Alejandro-Balde
40,Vincent Janssen,,https://fbref.com/en/players/31dce0c8/Vincent-Janssen
41,Cho Yumin,,https://fbref.com/en/players/7a4529dc/Cho-Yumin
42,Jason Cummings,,https://fbref.com/en/players/e28fbd0e/Jason-Cummings
43,Kevin Rodríguez,,https://fbref.com/en/players/189fb038/Kevin-Rodriguez
44,Axel Disasi,,https://fbref.com/en/players/ad82197c/Axel-Disasi
45,Youssoufa Moukoko,,https://fbref.com/en/players/6ce43701/Youssoufa-Moukoko
46,Abdessamad Ezzalzouli,,https://fbref.com/en/players/bed68338/Abdessamad-Ezzalzouli
47,Iñaki Williams,,https://fbref.com/en/players/6a99e0b1/Inaki-Williams
48,Kenneth Taylor,,https://fbref.com/en/players/ad9b2747/Kenneth-Taylor
49,Yuki Soma,,https://fbref.com/en/players/e997f52f/Yuki-Soma
50,Homam Ahmed,,https://fbref.com/en/players/a62fa158/Homam-Ahmed
51,António Silva,,https://fbref.com/en/players/8f0435c7/Antonio-Silva
52,Hiroki Ito,,https://fbref.com/en/players/204dded0/Hiroki-Ito
53,Mohammed Salisu,,https://fbref.com/en/players/0b33f6ad/Mohammed-Salisu
54,Jesús Ferreira,,https://fbref.com/en/players/f61246d8/Jesus-Ferreira
55,Iliman Ndiaye,,https://fbref.com/en/players/5ed97752/Iliman-Ndiaye
56,Garang Kuol,,https://fbref.com/en/players/a8a80be7/Garang-Kuol
57,Anass Zaroury,,https://fbref.com/en/players/07d65234/Anass-Zaroury
58,Antoine Semenyo,,https://fbref.com/en/players/efd2ec23/Antoine-Semenyo
59,Youssouf Fofana,,https://fbref.com/en/players/822d51d7/Youssouf-Fofana
60,Nicolas Nkoulou,,https://fbref.com/en/players/93cf32a8/Nicolas-Nkoulou
61,Amadou Onana,,https://fbref.com/en/players/828657ff/Amadou-Onana
62,Memphis,,https://fbref.com/en/players/8f696594/Memphis
63,Abderrazak Hamdallah,,https://fbref.com/en/players/fe73f8c6/Abderrazak-Hamdallah
64,Mario Götze,,https://fbref.com/en/players/9efa1d25/Mario-Gotze
65,Riyadh Sharahili,,https://fbref.com/en/players/3e8326a9/Riyadh-Sharahili
66,William Saliba,,https://fbref.com/en/players/972aeb2a/William-Saliba
67,Keanu Baccus,,https://fbref.com/en/players/19df2bf7/Keanu-Baccus
68,Jurriën Timber,,https://fbref.com/en/players/41034650/Jurrien-Timber
69,Noussair Mazraoui,,https://fbref.com/en/players/b74277a0/Noussair-Mazraoui
70,Pathé Ciss,,https://fbref.com/en/players/9a0408b6/Pathe-Ciss
71,Abdelhamid Sabiri,,https://fbref.com/en/players/4830e0af/Abdelhamid-Sabiri
72,Nico Williams,,https://fbref.com/en/players/afdc14d7/Nico-Williams
73,Bassam Al-Rawi,,https://fbref.com/en/players/d59acc5e/Bassam-Al-Rawi
74,Ansu Fati,,https://fbref.com/en/players/0ba976e4/Ansu-Fati
75,Gleison Bremer,,https://fbref.com/en/players/5fd5ed86/Gleison-Bremer
76,Callum Wilson,,https://fbref.com/en/players/c596fcb0/Callum-Wilson
77,Youstin Salas,,https://fbref.com/en/players/055dd4d3/Youstin-Salas
78,Haji Wright,,https://fbref.com/en/players/91cd37b7/Haji-Wright
79,Thiago Almada,,https://fbref.com/en/players/27f33438/Thiago-Almada
80,Hakim Ziyech,,https://fbref.com/en/players/6622454d/Hakim-Ziyech
81,Cameron Carter-Vickers,,https://fbref.com/en/players/88ced02c/Cameron-Carter-Vickers
82,Gonçalo Ramos,,https://fbref.com/en/players/f63cda26/Goncalo-Ramos
83,Xavi Simons,,https://fbref.com/en/players/da4d670f/Xavi-Simons
84,Krépin Diatta,,https://fbref.com/en/players/8104e41e/Krepin-Diatta
85,Srđan Babić,,https://fbref.com/en/players/075fe5a3/Srdjan-Babic
86,Artur Jędrzejczyk,,https://fbref.com/en/players/d1943c8b/Artur-Jedrzejczyk
87,Walid Cheddira,,https://fbref.com/en/players/0545a08e/Walid-Cheddira
88,Jakub Kiwior,,https://fbref.com/en/players/dc3e663e/Jakub-Kiwior
89,Jerome Ngom Mbekeli,,https://fbref.com/en/players/32bb1138/Jerome-Ngom-Mbekeli
90,Georges-Kévin N'Koudou,,https://fbref.com/en/players/76c131da/Georges-Kevin-NKoudou
